country_final,region_final,happiness_final,gdp_final,social_support,health_final,freedom_final,generosity,corruption_final
Kenya,Sub-Saharan Africa,4.356,0.52267,,0.30147,0.40576,0.41328,0.06686
Ukraine,Central and Eastern Europe,4.324,0.87287,,0.58628,0.12859,0.20363,0.01829
Ghana,Sub-Saharan Africa,4.276,0.63107,,0.29681,0.40973,0.21203,0.0326
Democratic Republic Of The Congo,Sub-Saharan Africa,4.272,0.05661,,0.188,0.15602,0.25458,0.06075
Georgia,Central and Eastern Europe,4.252,0.83792,,0.64035,0.32461,0.06786,0.3188
Republic Of The Congo,Sub-Saharan Africa,4.236,0.77109,,0.28212,0.37938,0.12077,0.09753
Senegal,Sub-Saharan Africa,4.219,0.44314,,0.40457,0.31056,0.19103,0.11681
Bulgaria,Central and Eastern Europe,4.217,1.11306,,0.67806,0.21219,0.12793,0.00615
Mauritania,Sub-Saharan Africa,4.201,0.61391,,0.28639,0.1268,0.22686,0.17955
Zimbabwe,Sub-Saharan Africa,4.193,0.35041,,0.1595,0.25429,0.18503,0.08582
Malawi,Sub-Saharan Africa,4.156,0.08709,,0.29364,0.4143,0.30968,0.07564
Sudan,Sub-Saharan Africa,4.139,0.63069,,0.29759,0.0,0.18077,0.10039
Gabon,Sub-Saharan Africa,4.121,1.15851,,0.3494,0.28098,0.06244,0.09314
Mali,Sub-Saharan Africa,4.073,0.31292,,0.16347,0.27544,0.21064,0.13647
Haiti,Latin America and Caribbean,4.028,0.34097,,0.27494,0.12072,0.47958,0.14476
Botswana,Sub-Saharan Africa,3.974,1.09426,,0.34752,0.44089,0.12425,0.10769
Comoros,Sub-Saharan Africa,3.956,0.27509,,0.29981,0.15412,0.1827,0.18437
Côte D'Ivoire,Sub-Saharan Africa,3.916,0.55507,,0.04476,0.40663,0.20338,0.1553
Cambodia,Southeastern Asia,3.907,0.55604,,0.42494,0.58852,0.40339,0.08092
Angola,Sub-Saharan Africa,3.866,0.84731,,0.04991,0.00589,0.12071,0.08434
Niger,Sub-Saharan Africa,3.856,0.1327,,0.26162,0.38041,0.2097,0.17176
South Sudan,Sub-Saharan Africa,3.832,0.39394,,0.15781,0.19662,0.25899,0.13015
Chad,Sub-Saharan Africa,3.763,0.42214,,0.03824,0.12807,0.18667,0.04952
Burkina Faso,Sub-Saharan Africa,3.739,0.31995,,0.21297,0.3337,0.24353,0.12533
Uganda,Sub-Saharan Africa,3.739,0.34719,,0.19625,0.43653,0.27102,0.06442
Yemen,Middle East and Northern Africa,3.724,0.57939,,0.31048,0.2287,0.09821,0.05892
Madagascar,Sub-Saharan Africa,3.695,0.27954,,0.37109,0.13684,0.2204,0.07506
Tanzania,Sub-Saharan Africa,3.666,0.47155,,0.357,0.3176,0.31472,0.05099
Liberia,Sub-Saharan Africa,3.622,0.10706,,0.23165,0.25748,0.24063,0.04852
Guinea,Sub-Saharan Africa,3.607,0.22415,,0.18829,0.30953,0.29914,0.1192
Rwanda,Sub-Saharan Africa,3.515,0.32846,,0.31865,0.5432,0.23552,0.50521
Benin,Sub-Saharan Africa,3.484,0.39499,,0.21028,0.39747,0.2018,0.06681
Afghanistan,Southern Asia,3.36,0.38227,,0.17344,0.1643,0.31268,0.07112
