gdp_final,social_support,health_final,freedom_final,generosity,corruption_final,cluster
1.356,1.504,0.986,0.473,0.16,0.21,2
1.433,1.457,0.874,0.454,0.28,0.128,2
1.269,1.487,0.92,0.457,0.046,0.036,2
1.503,1.31,0.825,0.598,0.262,0.182,2
1.3,1.52,0.999,0.564,0.375,0.151,2
1.07,1.323,0.861,0.433,0.074,0.073,2
1.324,1.472,1.045,0.436,0.111,0.183,2
1.368,1.43,0.914,0.351,0.242,0.097,2
1.159,1.369,0.92,0.357,0.187,0.056,2
0.8,1.269,0.746,0.535,0.175,0.078,2
1.403,1.357,0.795,0.439,0.08,0.132,2
1.684,1.313,0.871,0.555,0.22,0.167,2
1.286,1.484,1.062,0.362,0.153,0.079,2
1.149,1.442,0.91,0.516,0.109,0.054,2
1.004,1.439,0.802,0.39,0.099,0.086,2
1.124,1.465,0.891,0.523,0.127,0.15,2
1.572,1.463,1.141,0.556,0.271,0.453,2
0.794,1.242,0.789,0.43,0.093,0.074,2
1.294,1.488,1.039,0.231,0.158,0.03,2
1.362,1.368,0.871,0.536,0.255,0.11,2
1.246,1.504,0.881,0.334,0.121,0.014,2
1.231,1.477,0.713,0.489,0.185,0.016,2
1.206,1.438,0.884,0.483,0.117,0.05,2
0.745,1.529,0.756,0.631,0.322,0.24,2
1.238,1.515,0.818,0.291,0.043,0.042,2
0.985,1.41,0.841,0.47,0.099,0.034,2
1.258,1.523,0.953,0.564,0.144,0.057,2
0.694,1.325,0.835,0.435,0.2,0.127,2
0.882,1.232,0.758,0.489,0.262,0.006,2
1.092,1.432,0.881,0.471,0.066,0.05,2
1.162,1.232,0.825,0.462,0.083,0.005,2
1.263,1.223,1.042,0.406,0.19,0.041,2
0.912,1.312,0.868,0.498,0.126,0.087,2
1.5,1.319,0.808,0.493,0.142,0.097,2
1.05,1.409,0.828,0.557,0.359,0.028,2
1.187,1.465,0.812,0.264,0.075,0.064,2
1.301,1.219,1.036,0.159,0.175,0.056,0
1.237,1.528,0.874,0.495,0.103,0.161,2
0.831,1.478,0.831,0.49,0.107,0.028,2
1.12,1.402,0.798,0.498,0.215,0.06,2
1.327,1.419,1.088,0.445,0.069,0.14,2
0.642,1.236,0.828,0.507,0.246,0.078,2
1.173,1.508,0.729,0.41,0.146,0.096,2
0.776,1.209,0.706,0.511,0.137,0.064,2
1.201,1.41,0.828,0.199,0.081,0.02,2
0.855,1.475,0.777,0.514,0.184,0.08,2
1.263,1.252,1.042,0.417,0.191,0.162,2
0.96,1.274,0.854,0.455,0.083,0.027,2
1.221,1.431,0.999,0.508,0.047,0.025,2
0.677,0.886,0.535,0.313,0.22,0.098,0
1.183,1.452,0.726,0.334,0.082,0.031,2
0.807,1.293,0.657,0.558,0.117,0.107,2
1.004,1.383,0.854,0.282,0.137,0.039,2
0.685,1.328,0.739,0.245,0.181,0.0,2
1.044,1.303,0.673,0.416,0.133,0.152,2
1.051,1.361,0.871,0.197,0.142,0.08,2
0.493,1.098,0.718,0.389,0.23,0.144,0
1.155,1.266,0.914,0.296,0.119,0.022,2
1.438,1.277,1.122,0.44,0.258,0.287,2
1.015,1.401,0.779,0.497,0.113,0.101,2
0.945,1.212,0.845,0.212,0.263,0.006,0
1.183,1.36,0.808,0.195,0.083,0.106,2
1.221,1.171,0.828,0.508,0.26,0.024,2
1.067,1.465,0.789,0.235,0.094,0.142,2
1.181,1.156,0.999,0.067,0.0,0.034,0
0.948,1.531,0.667,0.317,0.235,0.038,2
0.983,1.294,0.838,0.345,0.185,0.034,2
0.696,1.111,0.245,0.426,0.215,0.041,0
0.551,1.438,0.723,0.508,0.3,0.023,2
1.052,1.538,0.657,0.394,0.244,0.028,2
1.002,1.16,0.785,0.086,0.073,0.114,0
0.801,0.782,0.782,0.418,0.036,0.076,0
1.043,1.147,0.769,0.351,0.035,0.182,0
0.987,1.224,0.815,0.216,0.166,0.027,0
0.931,1.203,0.66,0.491,0.498,0.028,2
1.029,1.125,0.893,0.521,0.058,0.1,2
0.741,1.346,0.851,0.543,0.147,0.073,2
0.813,1.321,0.604,0.457,0.37,0.167,2
0.549,0.91,0.331,0.381,0.187,0.037,0
1.092,1.513,0.815,0.311,0.081,0.004,2
0.611,0.868,0.486,0.381,0.245,0.04,0
0.569,0.808,0.232,0.352,0.154,0.09,0
0.446,1.226,0.677,0.439,0.285,0.089,2
0.837,1.225,0.815,0.383,0.11,0.13,2
0.393,0.437,0.397,0.349,0.175,0.082,0
0.673,0.799,0.508,0.372,0.105,0.093,0
1.057,1.183,0.571,0.295,0.043,0.055,0
0.764,1.03,0.551,0.547,0.266,0.164,0
0.96,1.351,0.469,0.389,0.13,0.055,2
0.947,0.848,0.874,0.383,0.178,0.027,0
0.96,1.427,0.805,0.154,0.064,0.047,2
0.574,1.122,0.637,0.609,0.232,0.062,2
0.657,1.247,0.672,0.225,0.103,0.066,0
0.45,1.134,0.571,0.292,0.153,0.072,0
0.0,0.698,0.268,0.559,0.243,0.27,0
0.879,1.313,0.477,0.401,0.07,0.056,2
0.138,0.774,0.366,0.318,0.188,0.102,0
0.331,1.056,0.38,0.255,0.177,0.113,0
0.85,1.055,0.815,0.283,0.095,0.064,0
1.1,0.842,0.785,0.305,0.27,0.125,0
0.38,0.829,0.375,0.332,0.207,0.086,0
0.886,0.666,0.752,0.346,0.043,0.164,0
0.308,0.939,0.428,0.382,0.269,0.167,0
0.512,0.983,0.581,0.431,0.372,0.053,0
0.57,1.167,0.489,0.066,0.106,0.088,0
0.204,0.986,0.39,0.494,0.197,0.138,0
0.921,1.0,0.815,0.167,0.059,0.055,0
0.562,0.928,0.723,0.527,0.166,0.143,0
1.043,0.98,0.574,0.241,0.148,0.089,0
0.094,1.125,0.357,0.269,0.212,0.053,0
0.385,1.105,0.308,0.327,0.153,0.052,0
0.268,0.841,0.242,0.309,0.252,0.045,0
0.949,1.265,0.831,0.47,0.244,0.047,2
0.71,1.181,0.555,0.525,0.566,0.172,2
0.35,0.766,0.192,0.174,0.198,0.078,0
0.82,1.39,0.739,0.178,0.187,0.01,2
0.336,1.033,0.532,0.344,0.209,0.1,0
0.811,1.149,0.0,0.313,0.074,0.135,0
0.332,1.069,0.443,0.356,0.252,0.06,0
0.913,1.039,0.644,0.241,0.076,0.067,0
0.578,1.058,0.426,0.431,0.247,0.087,0
0.275,0.572,0.41,0.293,0.177,0.085,0
0.755,0.765,0.588,0.498,0.2,0.085,0
0.073,0.922,0.443,0.37,0.233,0.033,0
0.274,0.757,0.505,0.142,0.275,0.078,0
0.274,0.916,0.555,0.148,0.169,0.041,0
0.489,1.169,0.168,0.359,0.107,0.093,0
0.046,0.447,0.38,0.22,0.176,0.18,0
0.366,1.114,0.433,0.361,0.151,0.089,0
0.323,0.688,0.449,0.026,0.419,0.11,0
1.041,1.145,0.538,0.455,0.025,0.1,2
0.619,0.378,0.44,0.013,0.331,0.141,0
0.191,0.56,0.495,0.443,0.218,0.089,0
0.287,1.163,0.463,0.143,0.108,0.077,0
0.359,0.711,0.614,0.555,0.217,0.411,0
0.476,0.885,0.499,0.417,0.276,0.147,0
0.35,0.517,0.361,0.0,0.158,0.025,0
0.026,0.0,0.105,0.225,0.235,0.035,0
0.306,0.575,0.295,0.01,0.202,0.091,0
10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019,0.195444584,1
10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456,1
10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,1
10.77255917,0.974669576,73.0,0.948891878,0.246944219,0.711709738,1
11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194,1
10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,1
10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,1
10.50094318,0.949118972,73.20262909,0.936217487,0.191598073,0.22113885,1
10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879,1
